,Unnamed: 0,imagen_url,Titulo_casa,direccion_casa,tamaño_casa,habitaciones_casa,Precio_Casa,habitaciones_categoricas
646,646,https://http2.mlstatic.com/D_NQ_NP_717727-MCO53442873959_012023-W.jpg,Hermosa Casa Finca En San Cristóbal ,"79q5+r6, Medellín, San Cristóbal, Medellin, Antioquia, Colombia, San Cristóbal, Medellín, Antioquia",130.0,4,-0.6491599941109547,4 habitaciones
647,647,https://http2.mlstatic.com/D_NQ_NP_632880-MCO69287497566_052023-W.jpg,Casa Unifamiliar Robledo Santa Maria Medellin,"Robledo Santa Maria, Medellín, Antioquia",80.0,2,-0.7661913483552507,2 habitaciones
648,648,https://http2.mlstatic.com/D_NQ_NP_999668-MCO54974063612_042023-W.jpg,Casa En Manrique Santa Cecilia Para La Venta,"Manrique, Medellín, Antioquia, Colombia, Manrique Oriental, Medellín, Antioquia",47.0,2,-0.7988512611676124,2 habitaciones
649,649,https://http2.mlstatic.com/D_NQ_NP_981107-MCO52710224549_122022-W.jpg,Casa En San Joaquin,"San Joaquín, Medellín, Antioquia",128.0,5,-0.6165000812985931,5 habitaciones
650,650,https://http2.mlstatic.com/D_NQ_NP_790258-MCO53109887476_122022-W.jpg,Casa En Venta En El Poblado ,"Las Palmas, Medellín, Antioquia",900.0,6,2.965203690457069,6 o más habitaciones
651,651,https://http2.mlstatic.com/D_NQ_NP_725250-MCO49764855394_042022-W.jpg,Venta Excelente Casa 3 Niveles Área 74 Mt Unidad Cerrada Sencilla,"Carrera 75da #2b Sur, Medellín, Antioquia, Colombia, Belén La Mota, Medellín, Antioquia",74.0,4,-0.6377290246266282,4 habitaciones
652,652,https://http2.mlstatic.com/D_NQ_NP_705854-MCO50311243639_062022-W.jpg,"Venta De Espectacular Casa Moderna Y Domotizada, Alto De Las Palmas ","Poblado Alto De Las Palmas, Medellín, Antioquia",432.0,3,1.0600421097359722,3 habitaciones
653,653,https://http2.mlstatic.com/D_NQ_NP_715958-MCO69317138858_052023-W.jpg,Casa Venta Robledo Unidad Cerrada Precio De Oferta,"Robledo, Medellín, Antioquia",110.0,4,-0.6382733565068341,4 habitaciones
654,654,https://http2.mlstatic.com/D_NQ_NP_771973-MCO53713567403_022023-W.jpg,Venta De Casa En El Poblado,"El Poblado, Medellín, Antioquia",970.0,7,3.0740700664982747,6 o más habitaciones
655,655,https://http2.mlstatic.com/D_NQ_NP_795652-MCO69117633099_042023-W.jpg,Casa Para La Venta En El Barrio Buenos Aires,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",64.0,3,-0.7199231385377384,3 habitaciones
656,656,https://http2.mlstatic.com/D_NQ_NP_970398-MCO52940041516_122022-W.jpg,"Casa El Poblado, La Calera, Medellín (pagar Con Crypto)","El Poblado, Medellín, Antioquia",700.0,4,2.6930377503540552,4 habitaciones
657,657,https://http2.mlstatic.com/D_NQ_NP_704074-MCO49412737987_032022-W.jpg,Se Vende Casa Comercial Y Familiar En El Sector De Villa Nueva ,"Medellín, Antioquia, Colombia, Boston, Medellín, Antioquia",231.0,5,-0.6028917842934424,5 habitaciones
658,658,https://http2.mlstatic.com/D_NQ_NP_807026-MCO53611023434_022023-W.jpg,Casa Venta La Estrella La Ferreria,"Colombia / Antioquia / La Estrella / La Ferreria, Medellín, Antioquia",77.0,3,-0.7199231385377384,3 habitaciones
659,659,https://http2.mlstatic.com/D_NQ_NP_602712-MCO69313758140_052023-W.jpg,Venta De Casa Campestre En Sector Tesoro Poblado,"El Poblado, Medellín, Antioquia",136.0,3,-0.398767329216182,3 habitaciones
660,660,https://http2.mlstatic.com/D_NQ_NP_838291-MCO69876278831_062023-W.jpg,Venta Casa Belén Malibú Medellín Primer Piso,"Cra. 67 #32b36, Medellín, Belén, Medellín, Antioquia, Colombia, Belén, Medellín, Antioquia",179.0,5,-0.4913037488512067,5 habitaciones
661,661,https://http2.mlstatic.com/D_NQ_NP_749174-MCO50928700645_072022-W.jpg,"Venta De Casa Remodelada En El Poblado, El Tesoro","Calle 9a Sur #11, Medellín, Antioquia, Colombia, El Tesoro, Medellín, Antioquia",528.0,4,1.2233416737977805,4 habitaciones
662,662,https://http2.mlstatic.com/D_NQ_NP_896927-MCO53912423887_022023-W.jpg,Vendo Casa Medellin Poblado (también Recibo Criptomonedas),"El Poblado, Medellín, Antioquia",521.0,4,0.5157102295299445,4 habitaciones
663,663,https://http2.mlstatic.com/D_NQ_NP_868263-MCO70045978708_062023-W.jpg,Venta De Casa En Medellín Barrio Robledo Urb. Las Cometas,"Las Cometas, Aures I, Medellín, Antioquia, Colombia, Robledo, Medellín, Antioquia",89.0,3,-0.6829085706837285,3 habitaciones
664,664,https://http2.mlstatic.com/D_NQ_NP_834168-MCO53146965492_012023-W.jpg,Vendo Casa Medellin Poblado (también Recibo Criptomonedas),"El Poblado, Medellín, Antioquia",390.0,5,0.10746131937542372,5 habitaciones
665,665,https://http2.mlstatic.com/D_NQ_NP_881959-MCO69359674552_052023-W.jpg,Venta De Casa En Medellín - Corregimiento San Antonio De Prado,"Cl. 42 Sur #65a-70, San Antonio De Prado, Medellín, Antioquia, Colombia, San Antonio De Prado, Medellín, Antioquia",76.0,3,-0.6845415663243465,3 habitaciones
666,666,https://http2.mlstatic.com/D_NQ_NP_933262-MCO54007833209_022023-W.jpg,Casa En Venta  Buenos Aires ,"Buenos Aires, Medellín, Antioquia, Colombia, Buenos Aires, Medellín, Antioquia",103.0,3,-0.6763765881212561,3 habitaciones
667,667,https://http2.mlstatic.com/D_NQ_NP_863520-MCO52710622162_122022-W.jpg,"Venta Casa, Barrio Bostón, Medellín.","Boston, Medellín, Antioquia",269.0,5,-0.398767329216182,5 habitaciones
668,668,https://http2.mlstatic.com/D_NQ_NP_991287-MCO70041498910_062023-W.jpg,"Venta De Casa En El Poblado, Medellín Antioquia ","San Lucas, Medellín, Antioquia",139.0,3,-0.41509728562236287,3 habitaciones
669,669,https://http2.mlstatic.com/D_NQ_NP_602266-MCO69324874241_052023-W.jpg,Casa Unidad Cerrada Poblado 250 Mts,"El Poblado/ Suroriente, Medellín, Antioquia",250.0,3,-0.3552752119877204,3 habitaciones
670,670,https://http2.mlstatic.com/D_NQ_NP_743847-MCO70177703357_062023-W.jpg,Casa Unifamiliar En Venta Calasanz Medellin (n),"Calasanz, Medellín, Antioquia",120.0,3,-0.5239636616635683,3 habitaciones
671,671,https://http2.mlstatic.com/D_NQ_NP_986887-MCO50225187974_062022-W.jpg,Venta Casa En Prado Centro,"Prado Centro, Medellín, Antioquia",164.0,7,-0.6110567624965328,6 o más habitaciones
